pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
f8e0b386-054e-4437-b58f-b504dd9ebc03,pendle,Pendle,Ethereum,WEETH,2113368,2.56062,2.55633,0.00429,False
cf047bdd-d744-4839-9ce3-968fb54e9c7c,pendle,Pendle,Ethereum,WEETH,2113368,2.70111,2.70111,,False
8e41ef65-c599-4750-82a6-b284ddd33635,euler-v2,Euler V2,Ethereum,USDT,2102349,1.87537,1.87537,,True
093d3274-7a3d-4f80-8b77-3e4dafab2dd9,curve-dex,Curve,Ethereum,USDC-NBASIS,2004632,0.08,0.08,0,False
91a13ad5-0687-4d6f-a789-da86b149d817,euler-v2,Euler V2,Arbitrum,USDC,1986236,6.35103,6.35103,,True
8e469dbc-6da7-45fd-93a5-c5c4a9c18ed3,curve-dex,Curve,Ethereum,CRV-YCRV,1977217,9.20229,0.75,8.45229,False
93a073c9-0870-44a2-a5a6-d6091573be08,curve-dex,Curve,Ethereum,PYUSD-CRVUSD,1937417,3.14998,0,3.14998,True
b9c2067b-f491-4dfa-bedf-59194c4c7aa0,euler-v2,Euler V2,Ethereum,RLUSD,1930868,1.73926,1.73926,,True
4f3f9753-a071-4524-a564-35372a76c78d,curve-dex,Curve,Arbitrum,USDC.E-USD₮0,1895511,0.15048,0.15,0.00048,True
6e1583f9-f13b-44e2-bb17-816a2e2ba6bb,curve-dex,Curve,Ethereum,CRV-SDCRV,1879980,13.93365,2.59,11.34365,False
ce225565-9411-4e75-afdb-b0df6e14066b,curve-dex,Curve,Ethereum,GUSD-3CRV,1854285,1.66236,0.72,0.94236,False
62ac3b0e-aad4-49b0-ba4a-625458eff096,curve-dex,Curve,Ethereum,UNIBTC-BRBTC,1842995,5.20288,0,5.20288,False
e13cb9ca-d4dd-4c30-a367-8e9b3460e445,compound-v3,Compound V3,Base,WEETH,1839628,0,,,False
0b5e3dc8-83c7-4908-b820-36cd63995a6a,curve-dex,Curve,Ethereum,WETH-PXETH,1829675,0.14915,0.08,0.06915,False
e2012a65-2add-42d4-bea7-ccf261c19ecc,pendle,Pendle,Ethereum,WEETHS,1822838,3.92984,3.92984,,False
9ca5b73d-fc1f-4768-b51e-927bb47c6395,pendle,Pendle,Ethereum,WEETHS,1822838,3.24838,3.13033,0.11805,False
18cb2d80-422e-4d0d-a223-66a307f06d8d,curve-dex,Curve,Ethereum,ETH-OETH,1759161,0.2615,0.01,0.2515,False
4b1bd000-0fdd-4a75-bb30-45b513f7e5f7,compound-v3,Compound V3,Base,WRSETH,1749559,0,,,False
4c297a1d-8e6d-4a06-b3a0-38b7f4bb3400,pendle,Pendle,Ethereum,RSETH,1747255,2.92697,2.82156,0.10541,False
79d38593-2c1d-4ec4-b92e-8d1fe025df5f,pendle,Pendle,Ethereum,RSETH,1747255,2.54006,2.54006,,False
0c8567f8-ba5b-41ad-80de-00a71895eb19,compound-v3,Compound V3,Base,USDC,1737327,4.0139,3.19185,0.82205,True
cd24920c-7e1f-4473-81de-b6fccd7ecdfd,curve-dex,Curve,Ethereum,CRVUSD-YB,1699384,32.25081,7.48,24.77081,False
af9f9ec3-ae9c-4a5d-95c4-1c1c55e4afcf,pendle,Pendle,Ethereum,RLP,1696917,9.75474,9.49294,0.2618,False
b36c96f5-ca35-4236-bb54-7b84f39aba28,pendle,Pendle,Ethereum,RLP,1696917,9.00258,9.00258,,False
446acfcf-3491-4aff-b114-bbede5c6c0c3,curve-dex,Curve,Ethereum,IUSD-USDC,1666726,5.85209,0.05,5.80209,True
31063861-ab4d-43a7-a071-c240fe08a8be,compound-v3,Compound V3,Ethereum,TETH,1644348,0,,,False
475e0e56-2648-4b75-82cb-e82f5983787a,aave-v3,Aave V3,Ethereum,LDO,1641775,0.07033,0.07033,,True
ea0477f6-4ead-4339-926d-eeff9e11580b,euler-v2,Euler V2,Arbitrum,USDC,1598962,5.5456,5.5456,,True
0f72592a-80bf-4ec4-966b-1af1d9ace829,pendle,Pendle,Ethereum,UNIETH,1557452,1.48163,1.41595,0.06569,False
c289de95-a67e-4461-9147-a8d8098777df,pendle,Pendle,Ethereum,UNIETH,1557452,3.20561,3.20561,,False
829ac1b4-2129-4699-a412-59a5d7dbab64,compound-v3,Compound V3,Arbitrum,WSTETH,1511322,0,,,False
08d9e568-98b5-4957-bad6-e69ed4cf0d76,curve-dex,Curve,Ethereum,YNETHX-WETH,1498549,2.83076,2.68,0.15076,False
00152e22-d041-425c-b0df-e4dfabb99780,euler-v2,Euler V2,Ethereum,WBTC,1482883,0.00085,0.00085,,False
c7c9e2c5-a3ea-4e6e-80d7-090fd2d604c5,pendle,Pendle,Base,YOUSD,1454266,8.47438,8.47438,,True
4ae1949e-91ea-4745-a461-7f04d0f7538c,pendle,Pendle,Base,YOUSD,1454266,7.53624,7.01612,0.52012,True
