project,project_name,total_records,pools_count,chains,symbols,date_start,date_end,avg_apy,min_apy,max_apy
aave-v3,Aave V3,23435,37,"Arbitrum, Base, Ethereum","AAVE, CBBTC, EZETH, LBTC, LINK, OSETH, PT-SUSDE-5FEB2026, PT-USDE-5FEB2026, PYUS",2022-08-08,2025-12-27,1.6445,0,68.3744
sky-lending,Sky Lending,6056,6,Ethereum,"DAI, SUSDS, WETH, WSTETH",2022-10-26,2025-12-27,1.1104,0,15
curve-dex,Curve,5862,12,Ethereum,"CRVUSD-CBBTC, CRVUSD-TBTC, CRVUSD-WBTC, DAI-USDC-USDT, DOLA-SUSDE, ETH-STETH, FR",2022-02-11,2025-12-27,4.7054,0,964.92
kamino-lend,Kamino Lend,5446,9,Solana,"CBBTC, DSOL, JITOSOL, JUPSOL, MSOL, PYUSD, SOL, USDC, VSOL",2023-11-18,2025-12-27,2.1859,0,44.877
compound-v3,Compound V3,4833,7,Ethereum,"EZETH, RSETH, WBTC, WETH, WSTETH",2022-10-06,2025-12-27,0.0,0,0
lido,Lido,1305,1,Ethereum,STETH,2022-05-03,2025-12-27,3.6362,2.364,11.773
jito-liquid-staking,Jito LST,277,1,Solana,JITOSOL,2025-03-26,2025-12-27,6.9667,4.87,13.36
euler-v2,Euler V2,142,2,Ethereum,"PYUSD, RLUSD",2025-09-27,2025-12-27,9.896,5.0873,17.653
pendle,Pendle,140,4,Arbitrum,"SUSDAI, USDAI",2025-11-17,2025-12-27,10.1728,1.4947,21.1545
