date,pool_id,symbol,project,chain,tvl_usd,daily_fees,jlp_fees,apy,apy_base,apy_reward
2024-03-13,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,268047172,847656,635742.0,86.569,86.569,0
2024-03-14,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,304950813,867284,650463.0,77.8548,77.8548,0
2024-03-15,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,310594059,916862,687646.5,80.81,80.81,0
2024-03-16,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,309736090,799301,599475.75,70.6436,70.6436,0
2024-03-17,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,302397622,697473,523104.75,63.1398,63.1398,0
2024-03-18,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,316145740,1167636,875727.0,101.1054,101.1054,0
2024-03-19,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,309838175,2026068,1519551.0,179.0083,179.0083,0
2024-03-20,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,301745054,1258511,943883.25,114.175,114.175,0
2024-03-21,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,322317647,917753,688314.75,77.9464,77.9464,0
2024-03-22,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,311827584,889912,667434.0,78.1244,78.1244,0
2024-03-23,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,308399428,804985,603738.75,71.4543,71.4543,0
2024-03-24,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,367985151,581441,436080.75,43.2543,43.2543,0
2024-03-25,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,375206762,1303346,977509.5,95.0918,95.0918,0
2024-03-26,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,380787967,672105,504078.75,48.3179,48.3179,0
2024-03-27,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,381773415,567018,425263.5,40.6579,40.6579,0
2024-03-28,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,378748896,477325,357993.75,34.4998,34.4998,0
2024-03-29,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,381981546,477345,358008.75,34.2093,34.2093,0
2024-03-30,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,386024535,749389,562041.75,53.1431,53.1431,0
2024-03-31,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,383869209,620270,465202.5,44.2335,44.2335,0
2024-04-01,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,389680268,842599,631949.25,59.1925,59.1925,0
2024-04-02,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,384356420,1299973,974979.75,92.5879,92.5879,0
2024-04-03,jupiter-jlp,JLP,jupiter-perpetual-exchange,Solana,383180889,499671,374753.25,35.6972,35.6972,0
