date,btc_close,eth_close,sol_close,usdc_close,usdt_close
2022-05-01,38469.09375,2827.756103515625,89.6715087890625,1.0003809928894043,1.0001130104064941
2022-05-02,38529.328125,2857.410400390625,87.58101654052734,1.000059962272644,0.9999549984931946
2022-05-03,37750.453125,2783.476318359375,85.84237670898438,1.0001189708709717,1.0000449419021606
2022-05-04,39698.37109375,2940.644775390625,92.7708511352539,1.0000770092010498,1.0000380277633667
2022-05-05,36575.140625,2749.213134765625,84.59602355957031,0.9999579787254333,0.9999880194664001
2022-05-06,36040.921875,2694.979736328125,81.76410675048828,1.0000720024108887,0.9999819993972778
2022-05-07,35501.953125,2636.093017578125,78.9834213256836,0.9999060034751892,0.9999210238456726
2022-05-08,34059.265625,2517.4599609375,75.22018432617188,1.000087022781372,0.9998540282249451
2022-05-09,30296.953125,2245.430419921875,63.2696533203125,0.9995949864387512,0.999908983707428
2022-05-10,31022.90625,2343.510986328125,66.76615142822266,0.9998279809951782,0.9997910261154175
2022-05-11,28936.35546875,2072.108642578125,50.21084976196289,1.0007660388946533,0.9958720207214355
2022-05-12,29047.751953125,1961.7015380859375,44.683589935302734,1.0006589889526367,0.99760901927948
2022-05-13,29283.103515625,2014.418212890625,48.59355163574219,1.0003470182418823,0.9982389807701111
2022-05-14,30101.265625,2056.27392578125,52.4172248840332,1.0003809928894043,0.9987800121307373
2022-05-15,31305.11328125,2145.706787109375,58.81126022338867,1.0001829862594604,0.9990689754486084
2022-05-16,29862.91796875,2022.7259521484375,53.646461486816406,1.0005810260772705,0.9987789988517761
2022-05-17,30425.857421875,2090.4091796875,57.12562561035156,1.0002189874649048,0.9989089965820312
2022-05-18,28720.271484375,1916.6561279296875,49.75621032714844,0.999770998954773,0.9988020062446594
2022-05-19,30314.333984375,2018.336181640625,52.2139778137207,1.0002690553665161,0.9989709854125977
2022-05-20,29200.740234375,1961.315673828125,49.538509368896484,0.9999070167541504,0.9988179802894592
2022-05-21,29432.2265625,1974.518310546875,50.3179817199707,1.0002659559249878,0.9987930059432983
2022-05-22,30323.72265625,2043.170166015625,52.75518035888672,1.0000920295715332,0.9990659952163696
2022-05-23,29098.91015625,1972.181884765625,49.05685043334961,1.0001410245895386,0.9990879893302917
2022-05-24,29655.5859375,1978.9827880859375,49.65333557128906,1.0001790523529053,0.9991070032119751
2022-05-25,29562.361328125,1944.827880859375,47.982425689697266,0.9998210072517395,0.9989759922027588
2022-05-26,29267.224609375,1803.913330078125,43.4912109375,0.9999300241470337,0.9989070296287537
2022-05-27,28627.57421875,1724.9228515625,40.981346130371094,1.0004030466079712,0.9988629817962646
2022-05-28,28814.900390625,1757.9417724609375,44.343162536621094,1.0001499652862549,0.9990019798278809
2022-05-29,29445.95703125,1812.031005859375,44.90961456298828,1.0005860328674316,0.9991779923439026
2022-05-30,31726.390625,1996.4412841796875,47.179443359375,1.0000989437103271,0.9993759989738464
2022-05-31,31792.310546875,1942.3280029296875,45.76784133911133,1.0002100467681885,0.9993879795074463
2022-06-01,29799.080078125,1823.5693359375,40.26966857910156,1.0001300573349,0.9992600083351135
2022-06-02,30467.48828125,1834.1505126953125,40.8913459777832,1.000223994255066,0.9993169903755188
2022-06-03,29704.390625,1775.07861328125,38.259220123291016,1.000143051147461,0.9991700053215027
2022-06-04,29832.9140625,1801.6094970703125,38.93144607543945,1.0002429485321045,0.9993129968643188
2022-06-05,29906.662109375,1805.2049560546875,38.480533599853516,1.0001440048217773,0.9992960095405579
2022-06-06,31370.671875,1859.2896728515625,42.43313217163086,1.000082015991211,0.9993109703063965
2022-06-07,31155.478515625,1814.04833984375,39.43757247924805,1.0001029968261719,0.9994140267372131
2022-06-08,30214.35546875,1793.572265625,38.84336853027344,1.0002180337905884,0.9992619752883911
2022-06-09,30111.998046875,1789.8260498046875,39.97260665893555,1.0002440214157104,0.99931401014328
2022-06-10,29083.8046875,1665.042236328125,37.08976745605469,1.0000629425048828,0.999180018901825
2022-06-11,28360.810546875,1529.6634521484375,33.82111740112305,1.0000900030136108,0.9990249872207642
2022-06-12,26762.6484375,1445.216552734375,30.743270874023438,1.0000489950180054,0.9990800023078918
2022-06-13,22487.388671875,1204.582763671875,28.19236183166504,1.0004340410232544,0.9985939860343933
2022-06-14,22206.79296875,1211.662841796875,29.714618682861328,1.0007280111312866,0.9989539980888367
2022-06-15,22572.83984375,1233.2064208984375,34.48794174194336,1.000704050064087,0.9989420175552368
2022-06-16,20381.650390625,1067.730712890625,29.989742279052734,1.0003679990768433,0.9989299774169922
2022-06-17,20471.482421875,1086.519287109375,30.742919921875,1.0002080202102661,0.9990360140800476
2022-06-18,19017.642578125,993.6367797851562,31.80793571472168,1.0003149509429932,0.9986670017242432
2022-06-19,20553.271484375,1127.656494140625,34.24374771118164,1.0004040002822876,0.9989690184593201
2022-06-20,20599.537109375,1127.6424560546875,35.4171142578125,1.0001519918441772,0.9989569783210754
2022-06-21,20710.59765625,1124.8245849609375,36.121158599853516,0.9999430179595947,0.9990940093994141
2022-06-22,19987.029296875,1051.421875,34.12163543701172,1.000108003616333,0.9990950226783752
